hospital_sample_size,strategy,estimand,target_parameter,observation_parameter,reference_target_discrepancy
40,N1,national,0.878398007885453,0.878398007885453,0
40,N1,easy,0.948003714020427,0.948003714020427,0
40,N1,hard,0.736775818639798,0.736775818639798,0
40,N2,national,0.878398007885453,0.878398007885453,0
40,N2,easy,0.948003714020427,0.948003714020427,-1.11022302462516e-16
40,N2,hard,0.736775818639798,0.736775818639798,0
40,N3,national,0.878398007885453,0.841879818871619,-0.0365181890138343
40,N3,easy,0.948003714020427,0.942436702012551,-0.00556701200787579
40,N3,hard,0.736775818639798,0.710985915492958,-0.0257899031468407
40,N4,national,0.878398007885453,0.841879818871619,-0.0365181890138343
40,N4,easy,0.948003714020427,0.942436702012551,-0.00556701200787579
40,N4,hard,0.736775818639798,0.710985915492958,-0.0257899031468407
40,N5,national,0.878398007885453,0.841879818871619,-0.0365181890138343
40,N5,easy,0.948003714020427,0.942436702012551,-0.00556701200787579
40,N5,hard,0.736775818639798,0.710985915492958,-0.0257899031468407
80,N1,national,0.878398007885453,0.878398007885453,0
80,N1,easy,0.948003714020427,0.948003714020427,0
80,N1,hard,0.736775818639798,0.736775818639798,0
80,N2,national,0.878398007885453,0.878398007885453,0
80,N2,easy,0.948003714020427,0.948003714020427,-1.11022302462516e-16
80,N2,hard,0.736775818639798,0.736775818639798,0
80,N3,national,0.878398007885453,0.841879818871619,-0.0365181890138343
80,N3,easy,0.948003714020427,0.942436702012551,-0.00556701200787579
80,N3,hard,0.736775818639798,0.710985915492958,-0.0257899031468407
80,N4,national,0.878398007885453,0.841879818871619,-0.0365181890138343
80,N4,easy,0.948003714020427,0.942436702012551,-0.00556701200787579
80,N4,hard,0.736775818639798,0.710985915492958,-0.0257899031468407
80,N5,national,0.878398007885453,0.841879818871619,-0.0365181890138343
80,N5,easy,0.948003714020427,0.942436702012551,-0.00556701200787579
80,N5,hard,0.736775818639798,0.710985915492958,-0.0257899031468407
120,N1,national,0.878398007885453,0.878398007885453,0
120,N1,easy,0.948003714020427,0.948003714020427,0
120,N1,hard,0.736775818639798,0.736775818639798,0
120,N2,national,0.878398007885453,0.878398007885453,0
120,N2,easy,0.948003714020427,0.948003714020427,0
120,N2,hard,0.736775818639798,0.736775818639799,1.11022302462516e-16
120,N3,national,0.878398007885453,0.841879818871619,-0.0365181890138343
120,N3,easy,0.948003714020427,0.942436702012551,-0.00556701200787579
120,N3,hard,0.736775818639798,0.710985915492958,-0.0257899031468407
120,N4,national,0.878398007885453,0.841879818871619,-0.0365181890138343
120,N4,easy,0.948003714020427,0.942436702012551,-0.00556701200787579
120,N4,hard,0.736775818639798,0.710985915492958,-0.0257899031468407
120,N5,national,0.878398007885453,0.841879818871619,-0.0365181890138343
120,N5,easy,0.948003714020427,0.942436702012551,-0.00556701200787579
120,N5,hard,0.736775818639798,0.710985915492958,-0.0257899031468407
160,N1,national,0.878398007885453,0.878398007885453,0
160,N1,easy,0.948003714020427,0.948003714020427,0
160,N1,hard,0.736775818639798,0.736775818639798,0
160,N2,national,0.878398007885453,0.878398007885453,0
160,N2,easy,0.948003714020427,0.948003714020427,-1.11022302462516e-16
160,N2,hard,0.736775818639798,0.736775818639798,0
160,N3,national,0.878398007885453,0.841879818871619,-0.0365181890138343
160,N3,easy,0.948003714020427,0.942436702012551,-0.00556701200787579
160,N3,hard,0.736775818639798,0.710985915492958,-0.0257899031468407
160,N4,national,0.878398007885453,0.841879818871619,-0.0365181890138343
160,N4,easy,0.948003714020427,0.942436702012551,-0.00556701200787579
160,N4,hard,0.736775818639798,0.710985915492958,-0.0257899031468407
160,N5,national,0.878398007885453,0.841879818871619,-0.0365181890138343
160,N5,easy,0.948003714020427,0.942436702012551,-0.00556701200787579
160,N5,hard,0.736775818639798,0.710985915492958,-0.0257899031468407
